movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
51977,Сестра сна,7.246,127,187.0,1995,7.1,1304.0,"[драма, мелодрама, музыка]",[Германия],,,Schlafes Bruder
5198,Кошмар на улице Вязов,7.716,92,51442.0,1984,7.5,139324.0,[ужасы],[США],$1 800 000,94.0,A Nightmare on Elm Street
519829,Темные души,4.559,95,144.0,2010,5.3,1046.0,"[ужасы, триллер, драма]","[Норвегия, Франция]",NOK 1 200 000,,Mørke sjeler
520,Телесеть,7.688,121,4506.0,1976,8.1,95716.0,[драма],[США],$3 800 000,91.0,Network
5200,Одни во тьме,5.449,92,188.0,1982,6.2,2506.0,"[ужасы, триллер]",[США],,75.0,Alone in the Dark
520081,Осатаневшая,7.023,114,2254.0,2010,7.3,8224.0,"[триллер, драма, криминал]",[Корея Южная],$700 000,,Kim Bok-nam salinsageonui jeonmal
52019,Уличный боец 2,7.738,94,474.0,1994,7.3,6065.0,"[аниме, мультфильм, фантастика, фэнтези, боевик, приключения]",[Япония],,,Sutorîto Faitâ II gekijô-ban
520221,Йорген + Анна = любовь,7.603,83,407.0,2011,7.0,588.0,"[детектив, семейный]",[Норвегия],NOK 18 000 000,,Jørgen + Anne = sant
52035,Не смотри назад,7.438,96,179.0,1967,8.0,5865.0,"[документальный, музыка]",[США],,100.0,Dont Look Back
520453,"Я люблю его, мама (сериал)",8.2,45,149.0,1997,5.8,10.0,"[мюзикл, мелодрама, комедия]",[Венесуэла],,,Entre tu y yo
52046,Дьяболик,6.618,105,256.0,1968,6.5,4131.0,"[боевик, комедия, криминал]","[Италия, Франция]",$400 000,67.0,Diabolik
520536,Поцелуй сестёр (сериал),7.04,25,917.0,2010,6.5,362.0,"[аниме, мультфильм, драма, мелодрама]",[Япония],,,Kiss x sis
520587,Вкус денег (сериал 2008 – 2010),4.718,-,116.0,2008,6.3,780.0,"[игра, реальное ТВ]",[США],,,I Love Money
5206,Машинист,7.582,97,60167.0,2004,7.7,271606.0,"[триллер, драма]","[Испания, США]",$5 000 000,77.0,El Maquinista
520605,Мистер Саншайн (сериал 2011 – 2012),6.565,22,1004.0,2011,6.9,5602.0,[комедия],[США],,,Mr. Sunshine
520608,Могучая Би! (сериал 2008 – 2011),4.646,23,221.0,2008,5.5,1255.0,"[мультфильм, комедия]",[США],,,The Mighty B!
520623,Масквичи (сериал),3.986,40,396.0,2010,,,[комедия],[Россия],,,
520625,Кевин Смит: Продано – Третий вечер с Кевином Смитом (видео),8.057,122,346.0,2008,7.9,1319.0,"[документальный, комедия]",[США],,,Kevin Smith: Sold Out - A Threevening with Kevin Smith
520626,Вечер с Кевином Смитом 2: Вечер покрепче (видео),8.181,239,363.0,2006,7.8,2600.0,"[документальный, комедия]",[США],,,An Evening with Kevin Smith 2: Evening Harder
520627,Дом у большой реки (сериал),6.5,44,221.0,2010,,,[мелодрама],[Россия],,,
520630,WWE РестлМания 26 (ТВ),7.228,240,286.0,2010,7.5,507.0,"[боевик, спорт]",[США],,,WrestleMania XXVI
520636,Доктор Голливуд (сериал 2004 – 2008),5.539,55,100.0,2004,4.8,433.0,"[документальный, реальное ТВ]",[США],,,Dr. 90210
520637,Секретная миссия Санты,5.961,80,135.0,2011,3.9,173.0,"[мультфильм, фэнтези, комедия, приключения, семейный]","[Финляндия, Бельгия]",€4 480 000,,Maaginen kristalli
520648,Пипец 2,6.237,103,48908.0,2013,6.6,187721.0,"[боевик, комедия, криминал]","[США, Великобритания, Япония]",$28 000 000,29.0,Kick-Ass 2
520649,И всё же Лоранс,7.539,168,5694.0,2012,7.6,8863.0,"[драма, мелодрама]","[Канада, Франция]",,83.0,Laurence Anyways
520667,История российского шоу-бизнеса (сериал),7.054,45,1034.0,2010,,,[документальный],[Россия],,,
5207,Власть огня,6.786,101,20570.0,2002,6.2,102183.0,"[фантастика, фэнтези, боевик, триллер, приключения]","[США, Ирландия]",$60 000 000,40.0,Reign of Fire
5208,Сон в летнюю ночь,7.369,116,2261.0,1999,6.5,20716.0,"[фэнтези, мелодрама, комедия]","[Италия, Великобритания, США]",$11 000 000,67.0,A Midsummer Night's Dream
52081,Лунный мальчик,6.326,118,134.0,1989,6.5,242.0,"[фантастика, фэнтези]",[Испания],,,El niño de la luna
520844,"Человек, который кричит",6.018,92,145.0,2010,6.7,1150.0,[драма],"[Чад, Франция, Бельгия]",,89.0,Un homme qui crie
520880,Дот,5.624,89,271.0,2009,,,[военный],"[Россия, Украина]",$7 000 000,,
520881,Пизанская башня,5.83,94,100.0,2010,,,[мелодрама],[Украина],,,
